# rubi-harness, symplex 0.23.0: 215 files, 72254 entries, 12 jobs, timeout 10 s, check timeout 30 s, wall 14 s
path	total	unsupported	verified	real_verified	unevaluated	wrong	undecided	timeout	panic	seconds
6 Hyperbolic functions/6.5 Hyperbolic secant/6.5.2 (e x)^m (a+b sech(c+d x^n))^p.mac	84	0	0	0	84	0	0	0	0	0.1
6 Hyperbolic functions/6.5 Hyperbolic secant/6.5.3 Hyperbolic secant functions.mac	201	0	2	0	199	0	0	0	0	0.2
6 Hyperbolic functions/6.5 Hyperbolic secant/6.5.7 (d hyper)^m (a+b (c sech)^n)^p.mac	220	0	4	0	216	0	0	0	0	0.2
6 Hyperbolic functions/6.6 Hyperbolic cosecant/6.6.1 (c+d x)^m (a+b csch)^n.mac	29	0	1	0	28	0	0	0	0	0.0
6 Hyperbolic functions/6.6 Hyperbolic cosecant/6.6.2 (e x)^m (a+b csch(c+d x^n))^p.mac	83	0	0	0	83	0	0	0	0	0.1
6 Hyperbolic functions/6.6 Hyperbolic cosecant/6.6.3 Hyperbolic cosecant functions.mac	175	0	1	0	174	0	0	0	0	0.1
6 Hyperbolic functions/6.6 Hyperbolic cosecant/6.6.7 (d hyper)^m (a+b (c csch)^n)^p.mac	27	0	1	0	26	0	0	0	0	0.0
6 Hyperbolic functions/6.7 Miscellaneous/6.7.1 Hyperbolic functions.mac	1059	4	161	0	892	0	2	0	0	2.8
7 Inverse hyperbolic functions/7.1 Inverse hyperbolic sine/7.1.2 (d x)^m (a+b arcsinh(c x))^n.mac	156	0	1	0	155	0	0	0	0	0.1
7 Inverse hyperbolic functions/7.1 Inverse hyperbolic sine/7.1.4a (f x)^m (d+c^2 d x^2)^p (a+b arcsinh(c x))^n.mac	541	0	8	0	533	0	0	0	0	0.4
7 Inverse hyperbolic functions/7.1 Inverse hyperbolic sine/7.1.4b (f x)^m (d+e x^2)^p (a+b arcsinh(c x))^n.mac	58	0	1	0	57	0	0	0	0	0.1
7 Inverse hyperbolic functions/7.1 Inverse hyperbolic sine/7.1.5 Inverse hyperbolic sine functions.mac	371	0	6	0	365	0	0	0	0	0.6
7 Inverse hyperbolic functions/7.2 Inverse hyperbolic cosine/7.2.2 (d x)^m (a+b arccosh(c x))^n.mac	166	0	2	0	164	0	0	0	0	0.2
7 Inverse hyperbolic functions/7.2 Inverse hyperbolic cosine/7.2.4a (f x)^m (d-c^2 d x^2)^p (a+b arccosh(c x))^n.mac	453	0	0	0	453	0	0	0	0	0.5
7 Inverse hyperbolic functions/7.2 Inverse hyperbolic cosine/7.2.4b (f x)^m (d+e x^2)^p (a+b arccosh(c x))^n.mac	109	0	0	0	109	0	0	0	0	0.2
7 Inverse hyperbolic functions/7.2 Inverse hyperbolic cosine/7.2.5 Inverse hyperbolic cosine functions.mac	293	0	3	0	290	0	0	0	0	0.9
7 Inverse hyperbolic functions/7.3 Inverse hyperbolic tangent/7.3.2 (d x)^m (a+b arctanh(c x^n))^p.mac	243	0	2	0	241	0	0	0	0	0.3
7 Inverse hyperbolic functions/7.3 Inverse hyperbolic tangent/7.3.3 (d+e x)^m (a+b arctanh(c x^n))^p.mac	49	0	0	0	49	0	0	0	0	0.1
7 Inverse hyperbolic functions/7.3 Inverse hyperbolic tangent/7.3.4 u (a+b arctanh(c x))^p.mac	538	0	7	1	530	0	0	0	0	0.7
7 Inverse hyperbolic functions/7.3 Inverse hyperbolic tangent/7.3.5 u (a+b arctanh(c+d x))^p.mac	62	0	1	0	61	0	0	0	0	0.2
7 Inverse hyperbolic functions/7.3 Inverse hyperbolic tangent/7.3.6 Exponentials of inverse hyperbolic tangent functions.mac	1378	0	1	0	1377	0	0	0	0	1.1
7 Inverse hyperbolic functions/7.3 Inverse hyperbolic tangent/7.3.7 Inverse hyperbolic tangent functions.mac	361	0	1	0	360	0	0	0	0	0.4
7 Inverse hyperbolic functions/7.4 Inverse hyperbolic cotangent/7.4.1 Inverse hyperbolic cotangent functions.mac	300	0	4	0	296	0	0	0	0	0.3
7 Inverse hyperbolic functions/7.4 Inverse hyperbolic cotangent/7.4.2 Exponentials of inverse hyperbolic cotangent functions.mac	935	0	0	0	935	0	0	0	0	1.0
7 Inverse hyperbolic functions/7.5 Inverse hyperbolic secant/7.5.1 u (a+b arcsech(c x))^n.mac	190	0	0	0	190	0	0	0	0	0.1
7 Inverse hyperbolic functions/7.5 Inverse hyperbolic secant/7.5.2 Inverse hyperbolic secant functions.mac	100	0	1	0	99	0	0	0	0	0.1
7 Inverse hyperbolic functions/7.6 Inverse hyperbolic cosecant/7.6.1 u (a+b arccsch(c x))^n.mac	178	0	0	0	178	0	0	0	0	0.1
7 Inverse hyperbolic functions/7.6 Inverse hyperbolic cosecant/7.6.2 Inverse hyperbolic cosecant functions.mac	71	0	1	0	70	0	0	0	0	0.1
8 Special functions/8.1 Error functions.mac	311	0	4	0	307	0	0	0	0	0.6
8 Special functions/8.10 Formal derivatives.mac	97	97	0	0	0	0	0	0	0	0.0
8 Special functions/8.2 Fresnel integral functions.mac	218	0	10	0	208	0	0	0	0	0.3
8 Special functions/8.3 Exponential integral functions.mac	208	0	0	0	208	0	0	0	0	0.1
8 Special functions/8.4 Trig integral functions.mac	136	0	0	0	136	0	0	0	0	0.1
8 Special functions/8.5 Hyperbolic integral functions.mac	136	0	0	0	136	0	0	0	0	0.1
8 Special functions/8.6 Gamma functions.mac	233	0	0	0	233	0	0	0	0	0.1
8 Special functions/8.7 Zeta function.mac	14	14	0	0	0	0	0	0	0	0.0
8 Special functions/8.8 Polylogarithm function.mac	198	0	0	0	198	0	0	0	0	0.1
8 Special functions/8.9 Product logarithm function.mac	398	0	0	0	398	0	0	0	0	0.2
TOTAL 0 Independent test suites	1869	0	873	16	979	0	0	1	0	9.2
TOTAL 1 Algebraic functions	25697	10	3625	47	22013	0	0	2	0	37.2
TOTAL 2 Exponentials	965	4	69	0	892	0	0	0	0	0.9
TOTAL 3 Logarithms	3085	0	65	5	3015	0	0	0	0	3.2
TOTAL 4 Trig functions	22472	4	418	1	22049	0	0	0	0	95.6
TOTAL 5 Inverse trig functions	4585	0	60	3	4522	0	0	0	0	7.8
TOTAL 6 Hyperbolic functions	5080	4	361	0	4713	0	2	0	0	8.3
TOTAL 7 Inverse hyperbolic functions	6552	0	39	1	6512	0	0	0	0	7.3
TOTAL 8 Special functions	1949	111	14	0	1824	0	0	0	0	1.5
TOTAL	72254	133	5524	73	66519	0	2	3	0	171.0
