# rubi-harness, symplex 0.23.0: 215 files, 72254 entries, 12 jobs, timeout 10 s, check timeout 30 s, wall 14 s
path	total	unsupported	verified	real_verified	unevaluated	wrong	undecided	timeout	panic	seconds
1 Algebraic functions/1.2 Trinomial products/1.2.2 Quartic/1.2.2.4 (f x)^m (d+e x^2)^q (a+b x^2+c x^4)^p.mac	413	0	33	0	380	0	0	0	0	0.3
1 Algebraic functions/1.2 Trinomial products/1.2.2 Quartic/1.2.2.5 P(x) (a+b x^2+c x^4)^p.mac	111	0	18	0	93	0	0	0	0	0.4
1 Algebraic functions/1.2 Trinomial products/1.2.2 Quartic/1.2.2.6 P(x) (d x)^m (a+b x^2+c x^4)^p.mac	145	0	35	0	110	0	0	0	0	0.5
1 Algebraic functions/1.2 Trinomial products/1.2.2 Quartic/1.2.2.7 P(x) (d+e x^2)^q (a+b x^2+c x^4)^p.mac	42	0	0	0	42	0	0	0	0	0.0
1 Algebraic functions/1.2 Trinomial products/1.2.2 Quartic/1.2.2.8 P(x) (d+e x)^q (a+b x^2+c x^4)^p.mac	4	0	0	0	4	0	0	0	0	0.0
1 Algebraic functions/1.2 Trinomial products/1.2.3 General/1.2.3.2 (d x)^m (a+b x^n+c x^(2 n))^p.mac	664	0	102	0	562	0	0	0	0	4.7
1 Algebraic functions/1.2 Trinomial products/1.2.3 General/1.2.3.3 (d+e x^n)^q (a+b x^n+c x^(2 n))^p.mac	96	0	18	0	78	0	0	0	0	1.3
1 Algebraic functions/1.2 Trinomial products/1.2.3 General/1.2.3.4 (f x)^m (d+e x^n)^q (a+b x^n+c x^(2 n))^p.mac	156	0	27	0	129	0	0	0	0	0.8
1 Algebraic functions/1.2 Trinomial products/1.2.3 General/1.2.3.5 P(x) (d x)^m (a+b x^n+c x^(2 n))^p.mac	17	0	0	0	17	0	0	0	0	0.0
1 Algebraic functions/1.2 Trinomial products/1.2.4 Improper/1.2.4.2 (d x)^m (a x^q+b x^n+c x^(2 n-q))^p.mac	140	0	13	0	127	0	0	0	0	0.1
1 Algebraic functions/1.3 Miscellaneous/1.3.1 Rational functions.mac	494	0	335	0	159	0	0	0	0	2.7
1 Algebraic functions/1.3 Miscellaneous/1.3.2 Algebraic functions.mac	886	10	76	1	799	0	0	0	0	1.3
2 Exponentials/2.1 u (F^(c (a+b x)))^n.mac	98	0	0	0	98	0	0	0	0	0.1
2 Exponentials/2.2 (c+d x)^m (F^(g (e+f x)))^n (a+b (F^(g (e+f x)))^n)^p.mac	93	0	0	0	93	0	0	0	0	0.1
2 Exponentials/2.3 Exponential functions.mac	774	4	69	0	701	0	0	0	0	0.8
3 Logarithms/3.1.2 (d x)^m (a+b log(c x^n))^p.mac	193	0	25	1	167	0	0	0	0	0.1
3 Logarithms/3.1.4 (f x)^m (d+e x^r)^q (a+b log(c x^n))^p.mac	456	0	0	0	456	0	0	0	0	0.4
3 Logarithms/3.1.5 u (a+b log(c x^n))^p.mac	249	0	0	0	249	0	0	0	0	0.3
3 Logarithms/3.2.1 (f+g x)^m (A+B log(e ((a+b x) over (c+d x))^n))^p.mac	314	0	0	0	314	0	0	0	0	0.2
3 Logarithms/3.2.2 (f+g x)^m (h+i x)^q (A+B log(e ((a+b x) over (c+d x))^n))^p.mac	263	0	0	0	263	0	0	0	0	0.3
3 Logarithms/3.2.3 u log(e (f (a+b x)^p (c+d x)^q)^r)^s.mac	108	0	0	0	108	0	0	0	0	0.1
3 Logarithms/3.3 u (a+b log(c (d+e x)^n))^p.mac	547	0	3	0	544	0	0	0	0	0.4
